ProductID,FatContent,ProductVisibility,ProductType,MRP,OutletID,EstablishmentYear,LocationType,OutletType,CustomerSegmentCode,SalesCategory
DRA59,Regular,0.214125129,Soft Drinks,183.9924,OUT010,1998,Tier 3,Grocery Store,Red,Low
DRA59,Regular,0.223985293,Soft Drinks,186.2924,OUT019,1985,Tier 1,Grocery Store,Blue,Low
DRB01,Low Fat,0.081841136,Soft Drinks,190.053,OUT027,1985,Tier 3,Supermarket Type3,Blue,Low
DRB01,Low Fat,0.082170947,Soft Drinks,190.953,OUT013,1987,Tier 3,Supermarket Type1,Blue,Medium
DRB01,Low Fat,0.082367244,Soft Drinks,187.753,OUT049,1999,Tier 1,Supermarket Type1,Red,Medium
DRB13,Regular,0.007038478,Soft Drinks,189.253,OUT013,1987,Tier 3,Supermarket Type1,Green,High
DRB13,Regular,0.007043008,Soft Drinks,190.353,OUT035,2004,Tier 2,Supermarket Type1,Blue,Low
DRB13,Regular,0.007055292,Soft Drinks,188.653,OUT049,1999,Tier 1,Supermarket Type1,Green,High
DRB13,Regular,0.007084185,Soft Drinks,191.153,OUT017,2007,Tier 2,Supermarket Type1,Red,High
DRB13,Regular,0.01179078,Soft Drinks,189.053,OUT010,1998,Tier 3,Grocery Store,Red,Low
DRB24,Low Fat,0.020573334,Soft Drinks,156.4656,OUT035,2004,Tier 2,Supermarket Type1,Red,Medium
DRB24,Low Fat,0.020609218,Soft Drinks,155.1656,OUT049,1999,Tier 1,Supermarket Type1,Blue,High
DRB24,Low Fat,0.020618957,Soft Drinks,153.0656,OUT045,2002,Tier 2,Supermarket Type1,Blue,High
DRB24,Low Fat,0.020693619,Soft Drinks,153.1656,OUT017,2007,Tier 2,Supermarket Type1,Blue,Medium
DRB25,Low Fat,0.06912336,Soft Drinks,106.0938,OUT027,1985,Tier 3,Supermarket Type3,Green,High
DRB25,Low Fat,0.069401919,Soft Drinks,107.9938,OUT013,1987,Tier 3,Supermarket Type1,Blue,Medium
DRB25,Low Fat,0.069446588,Soft Drinks,106.3938,OUT035,2004,Tier 2,Supermarket Type1,Blue,Low
DRB25,Low Fat,0.069742672,Soft Drinks,106.2938,OUT018,2009,Tier 3,Supermarket Type2,Green,Medium
DRB25,Low Fat,0.069852615,Soft Drinks,107.4938,OUT017,2007,Tier 2,Supermarket Type1,Green,Medium
DRB25,Low Fat,0.116261335,Soft Drinks,107.0938,OUT010,1998,Tier 3,Grocery Store,Green,Low
DRB48,Regular,0,Soft Drinks,39.3822,OUT046,1997,Tier 1,Supermarket Type1,Red,Low
DRB48,Regular,0.024733134,Soft Drinks,40.2822,OUT027,1985,Tier 3,Supermarket Type3,Green,Medium
DRB48,Regular,0.024832806,Soft Drinks,38.7822,OUT013,1987,Tier 3,Supermarket Type1,Red,Low
DRB48,Regular,0.024848788,Soft Drinks,39.9822,OUT035,2004,Tier 2,Supermarket Type1,Red,Low
DRB48,Regular,0.024892129,Soft Drinks,37.8822,OUT049,1999,Tier 1,Supermarket Type1,Green,Low
DRB48,Regular,0.024994069,Soft Drinks,37.4822,OUT017,2007,Tier 2,Supermarket Type1,Green,Low
DRB48,Regular,0.041599644,Soft Drinks,40.9822,OUT010,1998,Tier 3,Grocery Store,Green,Low
DRC01,Regular,0.019107027,Soft Drinks,48.4692,OUT027,1985,Tier 3,Supermarket Type3,Blue,Low
DRC01,Regular,0.019184026,Soft Drinks,50.3692,OUT013,1987,Tier 3,Supermarket Type1,Blue,Low
DRC01,Regular,0.019200003,Soft Drinks,47.7692,OUT046,1997,Tier 1,Supermarket Type1,Red,Low
DRC01,Regular,0.019238942,Soft Drinks,49.8692,OUT045,2002,Tier 2,Supermarket Type1,Red,Low
DRC01,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Tier 3,Supermarket Type2,Red,Low
DRC01,Regular,0.019308607,Soft Drinks,49.0692,OUT017,2007,Tier 2,Supermarket Type1,Green,Medium
DRC12,Low Fat,0.03781972,Soft Drinks,191.6188,OUT035,2004,Tier 2,Supermarket Type1,Blue,Medium
DRC12,Low Fat,0.037826873,Soft Drinks,189.7188,OUT046,1997,Tier 1,Supermarket Type1,Green,Medium
DRC12,Low Fat,0.037885683,Soft Drinks,190.4188,OUT049,1999,Tier 1,Supermarket Type1,Red,Low
DRC12,Low Fat,0.038040837,Soft Drinks,189.1188,OUT017,2007,Tier 2,Supermarket Type1,Red,High
DRC13,Regular,0,Soft Drinks,122.573,OUT045,2002,Tier 2,Supermarket Type1,Blue,Low
DRC13,Regular,0.032435437,Soft Drinks,124.873,OUT035,2004,Tier 2,Supermarket Type1,Red,High
DRC13,Regular,0.032573725,Soft Drinks,125.073,OUT018,2009,Tier 3,Supermarket Type2,Red,Low
DRC13,Regular,0.032625074,Soft Drinks,124.673,OUT017,2007,Tier 2,Supermarket Type1,Green,Medium
DRC24,Low Fat,0.02492239,Soft Drinks,153.4998,OUT018,2009,Tier 3,Supermarket Type2,Red,High
DRC24,Low Fat,0.024961677,Soft Drinks,153.1998,OUT017,2007,Tier 2,Supermarket Type1,Red,High
DRC25,Low Fat,0,Soft Drinks,87.3882,OUT027,1985,Tier 3,Supermarket Type3,Blue,Medium
DRC25,Low Fat,0.045334098,Soft Drinks,87.0882,OUT013,1987,Tier 3,Supermarket Type1,Red,Medium
DRC25,Low Fat,0.045371855,Soft Drinks,86.0882,OUT046,1997,Tier 1,Supermarket Type1,Red,Low
DRC25,Low Fat,0.045463871,Soft Drinks,85.2882,OUT045,2002,Tier 2,Supermarket Type1,Blue,Medium
DRC25,Low Fat,0.045556681,Soft Drinks,85.3882,OUT018,2009,Tier 3,Supermarket Type2,Red,Medium
DRC25,Low Fat,0.075943184,Soft Drinks,85.5882,OUT010,1998,Tier 3,Grocery Store,Blue,Low
DRC25,Low Fat,0.079440262,Soft Drinks,86.7882,OUT019,1985,Tier 1,Grocery Store,Blue,Low
DRC27,Low Fat,0.058091482,Dairy,245.1802,OUT035,2004,Tier 2,Supermarket Type1,Red,High
DRC27,Low Fat,0.058192802,Dairy,246.9802,OUT049,1999,Tier 1,Supermarket Type1,Green,High
DRC27,Low Fat,0.058220302,Dairy,247.4802,OUT045,2002,Tier 2,Supermarket Type1,Red,Medium
DRC27,Low Fat,0.058339153,Dairy,246.2802,OUT018,2009,Tier 3,Supermarket Type2,Blue,Medium
DRC27,Low Fat,0.05843112,Dairy,243.6802,OUT017,2007,Tier 2,Supermarket Type1,Blue,Medium
DRC27,Low Fat,0.097251621,Dairy,245.7802,OUT010,1998,Tier 3,Grocery Store,Blue,Low
DRC36,Regular,0,Soft Drinks,173.6054,OUT013,1987,Tier 3,Supermarket Type1,Green,Medium
DRC36,Regular,0.044767032,Soft Drinks,173.7054,OUT027,1985,Tier 3,Supermarket Type3,Green,High
DRC36,reg,0.044976367,Soft Drinks,176.2054,OUT035,2004,Tier 2,Supermarket Type1,Green,Medium
DRC36,Regular,0.044984874,Soft Drinks,175.0054,OUT046,1997,Tier 1,Supermarket Type1,Green,Medium
DRC36,Regular,0.045239326,Soft Drinks,174.1054,OUT017,2007,Tier 2,Supermarket Type1,Red,High
DRC49,LF,0.065119701,Soft Drinks,145.7128,OUT027,1985,Tier 3,Supermarket Type3,Green,High
DRC49,Low Fat,0.065424208,Soft Drinks,145.8128,OUT035,2004,Tier 2,Supermarket Type1,Blue,Medium
DRC49,Low Fat,0.065436581,Soft Drinks,142.9128,OUT046,1997,Tier 1,Supermarket Type1,Green,Medium
DRD01,Regular,0.061163967,Soft Drinks,56.5614,OUT035,2004,Tier 2,Supermarket Type1,Green,Low
DRD01,Regular,0.061270647,Soft Drinks,53.2614,OUT049,1999,Tier 1,Supermarket Type1,Green,Low
DRD01,Regular,0.061299601,Soft Drinks,56.2614,OUT045,2002,Tier 2,Supermarket Type1,Red,Low
DRD01,Regular,0.061424738,Soft Drinks,56.7614,OUT018,2009,Tier 3,Supermarket Type2,Green,Low
DRD01,Regular,0.061521569,Soft Drinks,55.8614,OUT017,2007,Tier 2,Supermarket Type1,Green,Medium
DRD12,Low Fat,0,Soft Drinks,89.4146,OUT027,1985,Tier 3,Supermarket Type3,Green,High
DRD12,Low Fat,0.077129323,Soft Drinks,92.7146,OUT013,1987,Tier 3,Supermarket Type1,Blue,Medium
DRD12,Low Fat,0.077178965,Soft Drinks,93.1146,OUT035,2004,Tier 2,Supermarket Type1,Blue,Medium
DRD12,Low Fat,0.077193561,Soft Drinks,89.9146,OUT046,1997,Tier 1,Supermarket Type1,Blue,Medium
DRD12,Low Fat,0.077350112,Soft Drinks,91.4146,OUT045,2002,Tier 2,Supermarket Type1,Green,Low
DRD12,LF,0.077508015,Soft Drinks,92.3146,OUT018,2009,Tier 3,Supermarket Type2,Green,Low
DRD12,Low Fat,0.077630199,Soft Drinks,90.9146,OUT017,2007,Tier 2,Supermarket Type1,Blue,Medium
DRD13,Low Fat,0.048841794,Soft Drinks,64.7168,OUT027,1985,Tier 3,Supermarket Type3,Green,High
DRD13,Low Fat,0.049038621,Soft Drinks,65.4168,OUT013,1987,Tier 3,Supermarket Type1,Green,Medium
DRD13,Low Fat,0.049070183,Soft Drinks,61.9168,OUT035,2004,Tier 2,Supermarket Type1,Green,Low
DRD13,Low Fat,0.049155769,Soft Drinks,65.2168,OUT049,1999,Tier 1,Supermarket Type1,Green,Low
DRD13,Low Fat,0.049178998,Soft Drinks,65.6168,OUT045,2002,Tier 2,Supermarket Type1,Red,Low
DRD13,Low Fat,0.049279392,Soft Drinks,65.7168,OUT018,2009,Tier 3,Supermarket Type2,Red,Low
DRD13,Low Fat,0.049357077,Soft Drinks,62.6168,OUT017,2007,Tier 2,Supermarket Type1,Green,Low
DRD15,Low Fat,0.056748659,Dairy,233.6642,OUT013,1987,Tier 3,Supermarket Type1,Red,High
DRD15,Low Fat,0.056785183,Dairy,231.9642,OUT035,2004,Tier 2,Supermarket Type1,Blue,Medium
DRD15,Low Fat,0.056795923,Dairy,232.8642,OUT046,1997,Tier 1,Supermarket Type1,Blue,High
DRD15,Low Fat,0.056884225,Dairy,231.9642,OUT049,1999,Tier 1,Supermarket Type1,Green,High
DRD15,Low Fat,0.056911107,Dairy,233.9642,OUT045,2002,Tier 2,Supermarket Type1,Blue,High
DRD15,Low Fat,0.095064731,Dairy,232.4642,OUT010,1998,Tier 3,Grocery Store,Red,Low
DRD15,Low Fat,0.099442329,Dairy,233.1642,OUT019,1985,Tier 1,Grocery Store,Red,Low
DRD24,Low Fat,0.030645958,Soft Drinks,141.7154,OUT027,1985,Tier 3,Supermarket Type3,Blue,High
DRD24,Low Fat,0.030769458,Soft Drinks,141.7154,OUT013,1987,Tier 3,Supermarket Type1,Green,High
DRD24,Low Fat,0.030795085,Soft Drinks,143.3154,OUT046,1997,Tier 1,Supermarket Type1,Green,Medium
DRD24,Low Fat,0.030842963,Soft Drinks,143.1154,OUT049,1999,Tier 1,Supermarket Type1,Blue,Medium
DRD24,Low Fat,0.030920531,Soft Drinks,141.0154,OUT018,2009,Tier 3,Supermarket Type2,Red,Medium
DRD24,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,2007,Tier 2,Supermarket Type1,Red,Medium
DRD24,Low Fat,0.051544658,Soft Drinks,142.5154,OUT010,1998,Tier 3,Grocery Store,Red,Low
DRD25,Low Fat,0,Soft Drinks,114.286,OUT046,1997,Tier 1,Supermarket Type1,Red,Medium
DRD25,Low Fat,0.078589629,Soft Drinks,113.286,OUT027,1985,Tier 3,Supermarket Type3,Green,High
DRD25,Low Fat,0.078957122,Soft Drinks,111.986,OUT035,2004,Tier 2,Supermarket Type1,Red,Medium
DRD25,Low Fat,0.079094835,Soft Drinks,114.386,OUT049,1999,Tier 1,Supermarket Type1,Red,Low
DRD25,Low Fat,0.079132212,Soft Drinks,112.686,OUT045,2002,Tier 2,Supermarket Type1,Red,High
DRD25,LF,0.079293753,Soft Drinks,111.286,OUT018,2009,Tier 3,Supermarket Type2,Blue,Medium
DRD25,Low Fat,0.132183029,Soft Drinks,115.086,OUT010,1998,Tier 3,Grocery Store,Green,Low
DRD25,Low Fat,0.138269873,Soft Drinks,111.686,OUT019,1985,Tier 1,Grocery Store,Red,Low
DRD27,Low Fat,0,Dairy,97.9042,OUT045,2002,Tier 2,Supermarket Type1,Blue,Medium
DRD27,Low Fat,0.023820082,Dairy,97.6042,OUT013,1987,Tier 3,Supermarket Type1,Red,Medium
DRD27,Low Fat,0.023876985,Dairy,97.4042,OUT049,1999,Tier 1,Supermarket Type1,Blue,Medium
DRD27,Low Fat,0.023974769,Dairy,99.0042,OUT017,2007,Tier 2,Supermarket Type1,Red,Low
DRD27,Low Fat,0.041740624,Dairy,98.3042,OUT019,1985,Tier 1,Grocery Store,Green,Low
DRD37,Low Fat,0.013830218,Soft Drinks,45.306,OUT013,1987,Tier 3,Supermarket Type1,Blue,Medium
DRD37,Low Fat,0.013841737,Soft Drinks,45.206,OUT046,1997,Tier 1,Supermarket Type1,Red,Medium
DRD37,Low Fat,0.013863257,Soft Drinks,45.106,OUT049,1999,Tier 1,Supermarket Type1,Blue,Medium
DRD37,Low Fat,0.013869809,Soft Drinks,47.406,OUT045,2002,Tier 2,Supermarket Type1,Blue,Low
DRD37,Low Fat,0.013898123,Soft Drinks,46.506,OUT018,2009,Tier 3,Supermarket Type2,Blue,Low
DRD37,Low Fat,0.013920032,Soft Drinks,45.006,OUT017,2007,Tier 2,Supermarket Type1,Red,Low
DRD37,LF,0.02316823,Soft Drinks,47.506,OUT010,1998,Tier 3,Grocery Store,Red,Low
DRD49,Low Fat,0.167799329,Soft Drinks,239.4564,OUT035,2004,Tier 2,Supermarket Type1,Blue,High
DRD49,LF,0.167831064,Soft Drinks,237.4564,OUT046,1997,Tier 1,Supermarket Type1,Blue,Low
DRD49,Low Fat,0.16817143,Soft Drinks,237.7564,OUT045,2002,Tier 2,Supermarket Type1,Green,High
DRD49,Low Fat,0.168780385,Soft Drinks,236.8564,OUT017,2007,Tier 2,Supermarket Type1,Green,High
DRD60,Low Fat,0.037201127,Soft Drinks,181.7634,OUT013,1987,Tier 3,Supermarket Type1,Green,Medium
DRD60,Low Fat,0.03722507,Soft Drinks,182.4634,OUT035,2004,Tier 2,Supermarket Type1,Red,Medium
DRD60,Low Fat,0.03723211,Soft Drinks,183.1634,OUT046,1997,Tier 1,Supermarket Type1,Red,High
DRD60,Low Fat,0.037289996,Soft Drinks,182.7634,OUT049,1999,Tier 1,Supermarket Type1,Blue,High
DRD60,LF,0.037383778,Soft Drinks,179.7634,OUT018,2009,Tier 3,Supermarket Type2,Green,Medium
DRD60,Low Fat,0.065188619,Soft Drinks,181.1634,OUT019,1985,Tier 1,Grocery Store,Green,Low
DRE01,Low Fat,0.167155198,Soft Drinks,241.7512,OUT046,1997,Tier 1,Supermarket Type1,Blue,High
DRE01,Low Fat,0.279783532,Soft Drinks,241.8512,OUT010,1998,Tier 3,Grocery Store,Blue,Low
DRE03,Low Fat,0.024222321,Dairy,45.5718,OUT035,2004,Tier 2,Supermarket Type1,Red,Low
DRE03,Low Fat,0.024226902,Dairy,48.7718,OUT046,1997,Tier 1,Supermarket Type1,Blue,Low
DRE03,Low Fat,0.024264569,Dairy,46.5718,OUT049,1999,Tier 1,Supermarket Type1,Green,Medium
DRE03,Low Fat,0.024276035,Dairy,45.3718,OUT045,2002,Tier 2,Supermarket Type1,Red,Low
DRE03,Low Fat,0.024325592,Dairy,48.5718,OUT018,2009,Tier 3,Supermarket Type2,Blue,Low
DRE03,Low Fat,0.024363939,Dairy,46.3718,OUT017,2007,Tier 2,Supermarket Type1,Red,Low
DRE03,Low Fat,0.040550868,Dairy,45.5718,OUT010,1998,Tier 3,Grocery Store,Red,Low
DRE12,Low Fat,0,Soft Drinks,111.186,OUT045,2002,Tier 2,Supermarket Type1,Green,Medium
DRE12,Low Fat,0.0704378,Soft Drinks,112.886,OUT027,1985,Tier 3,Supermarket Type3,Green,High
DRE12,Low Fat,0.070721656,Soft Drinks,113.286,OUT013,1987,Tier 3,Supermarket Type1,Red,Medium
DRE12,Low Fat,0.070767174,Soft Drinks,111.986,OUT035,2004,Tier 2,Supermarket Type1,Green,Low
DRE12,Low Fat,0.070780558,Soft Drinks,114.586,OUT046,1997,Tier 1,Supermarket Type1,Blue,Medium
DRE12,Low Fat,0.070890602,Soft Drinks,111.686,OUT049,1999,Tier 1,Supermarket Type1,Red,Medium
DRE13,low fat,0.027570939,Soft Drinks,86.6198,OUT027,1985,Tier 3,Supermarket Type3,Red,Medium
DRE13,Low Fat,0.027682047,Soft Drinks,85.5198,OUT013,1987,Tier 3,Supermarket Type1,Blue,Medium
DRE13,Low Fat,0.027699863,Soft Drinks,87.9198,OUT035,2004,Tier 2,Supermarket Type1,Green,Medium
DRE13,Low Fat,0.027748176,Soft Drinks,86.5198,OUT049,1999,Tier 1,Supermarket Type1,Red,Medium
DRE13,Low Fat,0.027761289,Soft Drinks,85.8198,OUT045,2002,Tier 2,Supermarket Type1,Blue,Low
DRE15,Low Fat,0,Dairy,77.6012,OUT046,1997,Tier 1,Supermarket Type1,Red,Low
DRE15,Low Fat,0,Dairy,75.7012,OUT017,2007,Tier 2,Supermarket Type1,Green,Medium
DRE15,Low Fat,0.01769927,Dairy,74.2012,OUT027,1985,Tier 3,Supermarket Type3,Green,Medium
DRE15,Low Fat,0.017821466,Dairy,75.1012,OUT045,2002,Tier 2,Supermarket Type1,Green,Medium
DRE15,Low Fat,0.017857847,Dairy,77.5012,OUT018,2009,Tier 3,Supermarket Type2,Green,Medium
DRE15,Low Fat,0.031139933,Dairy,74.8012,OUT019,1985,Tier 1,Grocery Store,Blue,Low
DRE25,Low Fat,0.072928316,Soft Drinks,94.412,OUT027,1985,Tier 3,Supermarket Type3,Blue,Medium
DRE25,Low Fat,0.073269336,Soft Drinks,92.112,OUT035,2004,Tier 2,Supermarket Type1,Green,Low
DRE25,Low Fat,0.073283193,Soft Drinks,91.812,OUT046,1997,Tier 1,Supermarket Type1,Blue,Medium
DRE25,Low Fat,0.073397129,Soft Drinks,91.912,OUT049,1999,Tier 1,Supermarket Type1,Red,High
DRE25,LF,0.073697713,Soft Drinks,91.912,OUT017,2007,Tier 2,Supermarket Type1,Red,Low
DRE27,Low Fat,0.132560174,Dairy,97.2726,OUT013,1987,Tier 3,Supermarket Type1,Green,Low
DRE27,Low Fat,0.132645493,Dairy,96.9726,OUT035,2004,Tier 2,Supermarket Type1,Green,Medium
DRE27,Low Fat,0.13267058,Dairy,96.4726,OUT046,1997,Tier 1,Supermarket Type1,Green,Low
DRE27,Low Fat,0.132876847,Dairy,98.0726,OUT049,1999,Tier 1,Supermarket Type1,Green,Low
DRE27,Low Fat,0.132939639,Dairy,98.0726,OUT045,2002,Tier 2,Supermarket Type1,Blue,Medium
DRE27,Low Fat,0.222063351,Dairy,99.6726,OUT010,1998,Tier 3,Grocery Store,Blue,Low
DRE37,Low Fat,0,Soft Drinks,189.1872,OUT035,2004,Tier 2,Supermarket Type1,Green,Medium
DRE37,Low Fat,0.094219593,Soft Drinks,189.9872,OUT046,1997,Tier 1,Supermarket Type1,Blue,Medium
DRE37,Low Fat,0.094366079,Soft Drinks,190.9872,OUT049,1999,Tier 1,Supermarket Type1,Red,High
DRE37,LF,0.094603404,Soft Drinks,187.0872,OUT018,2009,Tier 3,Supermarket Type2,Blue,High
DRE37,Low Fat,0.164966345,Soft Drinks,189.4872,OUT019,1985,Tier 1,Grocery Store,Red,Low
DRE48,Low Fat,0,Soft Drinks,195.3768,OUT017,2007,Tier 2,Supermarket Type1,Green,Medium
DRE48,Low Fat,0.01724183,Soft Drinks,197.0768,OUT027,1985,Tier 3,Supermarket Type3,Green,High
DRE48,Low Fat,0.017311312,Soft Drinks,197.8768,OUT013,1987,Tier 3,Supermarket Type1,Green,High
DRE48,LF,0.017322454,Soft Drinks,196.8768,OUT035,2004,Tier 2,Supermarket Type1,Green,High
DRE48,Low Fat,0.01732573,Soft Drinks,197.9768,OUT046,1997,Tier 1,Supermarket Type1,Blue,Medium
DRE48,Low Fat,0.017360867,Soft Drinks,196.2768,OUT045,2002,Tier 2,Supermarket Type1,Blue,Medium
DRE48,Low Fat,0.017396308,Soft Drinks,196.0768,OUT018,2009,Tier 3,Supermarket Type2,Green,High
DRE49,Low Fat,0,Soft Drinks,153.0024,OUT035,2004,Tier 2,Supermarket Type1,Red,Medium
DRE49,Low Fat,0,Soft Drinks,153.8024,OUT027,1985,Tier 3,Supermarket Type3,Blue,High
DRE49,Low Fat,0.021232318,Soft Drinks,151.1024,OUT013,1987,Tier 3,Supermarket Type1,Red,Medium
DRE49,LF,0.021250002,Soft Drinks,150.5024,OUT046,1997,Tier 1,Supermarket Type1,Red,High
DRE49,Low Fat,0.02128304,Soft Drinks,153.5024,OUT049,1999,Tier 1,Supermarket Type1,Red,Medium
DRE49,Low Fat,0.021293097,Soft Drinks,151.9024,OUT045,2002,Tier 2,Supermarket Type1,Red,High
DRE49,Low Fat,0.021336565,Soft Drinks,153.6024,OUT018,2009,Tier 3,Supermarket Type2,Red,Medium
DRE49,Low Fat,0.021370201,Soft Drinks,153.0024,OUT017,2007,Tier 2,Supermarket Type1,Green,Medium
DRE49,Low Fat,0.035568147,Soft Drinks,151.8024,OUT010,1998,Tier 3,Grocery Store,Red,Low
DRE60,Low Fat,0.159201868,Soft Drinks,226.072,OUT013,1987,Tier 3,Supermarket Type1,Red,High
DRE60,Low Fat,0.159304333,Soft Drinks,226.172,OUT035,2004,Tier 2,Supermarket Type1,Green,High
DRE60,Low Fat,0.159582185,Soft Drinks,224.772,OUT049,1999,Tier 1,Supermarket Type1,Red,High
DRE60,Low Fat,0.159657596,Soft Drinks,224.972,OUT045,2002,Tier 2,Supermarket Type1,Red,High
DRE60,Low Fat,0.160235723,Soft Drinks,227.872,OUT017,2007,Tier 2,Supermarket Type1,Blue,Medium
DRE60,low fat,0.278974075,Soft Drinks,225.372,OUT019,1985,Tier 1,Grocery Store,Red,Low
DRF01,Low Fat,0,Soft Drinks,147.5102,OUT046,1997,Tier 1,Supermarket Type1,Green,Medium
DRF01,Low Fat,0.174232377,Soft Drinks,146.6102,OUT027,1985,Tier 3,Supermarket Type3,Green,Medium
DRF01,Low Fat,0.174934513,Soft Drinks,145.0102,OUT013,1987,Tier 3,Supermarket Type1,Blue,Medium
DRF01,LF,0.175047104,Soft Drinks,146.9102,OUT035,2004,Tier 2,Supermarket Type1,Red,Medium
DRF01,Low Fat,0.175352413,Soft Drinks,147.4102,OUT049,1999,Tier 1,Supermarket Type1,Red,Medium
DRF01,Low Fat,0.175793413,Soft Drinks,146.9102,OUT018,2009,Tier 3,Supermarket Type2,Red,Medium
DRF01,LF,0.176070535,Soft Drinks,144.0102,OUT017,2007,Tier 2,Supermarket Type1,Red,Medium
DRF01,Low Fat,0.306542848,Soft Drinks,147.3102,OUT019,1985,Tier 1,Grocery Store,Green,Low
DRF03,Low Fat,0.045088724,Dairy,39.7138,OUT027,1985,Tier 3,Supermarket Type3,Red,Low
DRF03,Low Fat,0.045270426,Dairy,38.8138,OUT013,1987,Tier 3,Supermarket Type1,Blue,Low
DRF03,Low Fat,0.045299563,Dairy,38.8138,OUT035,2004,Tier 2,Supermarket Type1,Red,Low
DRF03,Low Fat,0.045308131,Dairy,42.5138,OUT046,1997,Tier 1,Supermarket Type1,Green,Low
DRF03,Low Fat,0.045378573,Dairy,42.4138,OUT049,1999,Tier 1,Supermarket Type1,Green,Low
DRF03,Low Fat,0.045400017,Dairy,38.8138,OUT045,2002,Tier 2,Supermarket Type1,Red,Low
DRF03,Low Fat,0.045492697,Dairy,40.3138,OUT018,2009,Tier 3,Supermarket Type2,Blue,Low
DRF03,Low Fat,0.075836522,Dairy,40.2138,OUT010,1998,Tier 3,Grocery Store,Green,Low
DRF13,Low Fat,0,Soft Drinks,145.1444,OUT013,1987,Tier 3,Supermarket Type1,Blue,High
DRF13,Low Fat,0.029781363,Soft Drinks,146.9444,OUT046,1997,Tier 1,Supermarket Type1,Blue,Medium
DRF13,Low Fat,0.029827665,Soft Drinks,144.3444,OUT049,1999,Tier 1,Supermarket Type1,Green,High
DRF13,Low Fat,0.02984176,Soft Drinks,144.4444,OUT045,2002,Tier 2,Supermarket Type1,Red,High
DRF13,Low Fat,0.029902679,Soft Drinks,144.3444,OUT018,2009,Tier 3,Supermarket Type2,Blue,Medium
DRF13,Low Fat,0.029949818,Soft Drinks,146.3444,OUT017,2007,Tier 2,Supermarket Type1,Blue,High
DRF15,LF,0,Dairy,151.934,OUT013,1987,Tier 3,Supermarket Type1,Red,Low
DRF15,Low Fat,0.03321399,Dairy,154.934,OUT046,1997,Tier 1,Supermarket Type1,Red,Medium
DRF15,Low Fat,0.03334929,Dairy,155.034,OUT018,2009,Tier 3,Supermarket Type2,Blue,Medium
DRF15,Low Fat,0.058153409,Dairy,152.034,OUT019,1985,Tier 1,Grocery Store,Blue,Low
DRF23,Low Fat,0,Hard Drinks,173.8396,OUT046,1997,Tier 1,Supermarket Type1,Green,Medium
DRF23,Low Fat,0.122058364,Hard Drinks,172.8396,OUT027,1985,Tier 3,Supermarket Type3,Red,High
DRF23,Low Fat,0.122629121,Hard Drinks,175.4396,OUT035,2004,Tier 2,Supermarket Type1,Green,High
DRF23,Low Fat,0.122843005,Hard Drinks,172.4396,OUT049,1999,Tier 1,Supermarket Type1,Blue,Medium
DRF23,Low Fat,0.122901056,Hard Drinks,174.4396,OUT045,2002,Tier 2,Supermarket Type1,Red,High
